filename,symbol,commodity,category,size_mb
ALI_F15_1min.txt,ALI,Aluminum,aluminum,0.00
ALI_F16_1min.txt,ALI,Aluminum,aluminum,0.00
ALI_F17_1min.txt,ALI,Aluminum,aluminum,0.01
ALI_F18_1min.txt,ALI,Aluminum,aluminum,0.00
ALI_F20_1min.txt,ALI,Aluminum,aluminum,0.01
ALI_F21_1min.txt,ALI,Aluminum,aluminum,0.01
ALI_F22_1min.txt,ALI,Aluminum,aluminum,0.03
ALI_F23_1min.txt,ALI,Aluminum,aluminum,0.10
ALI_F24_1min.txt,ALI,Aluminum,aluminum,0.26
ALI_G15_1min.txt,ALI,Aluminum,aluminum,0.00
ALI_G16_1min.txt,ALI,Aluminum,aluminum,0.00
ALI_G17_1min.txt,ALI,Aluminum,aluminum,0.00
ALI_G20_1min.txt,ALI,Aluminum,aluminum,0.01
ALI_G21_1min.txt,ALI,Aluminum,aluminum,0.01
ALI_G22_1min.txt,ALI,Aluminum,aluminum,0.02
ALI_G23_1min.txt,ALI,Aluminum,aluminum,0.08
ALI_G24_1min.txt,ALI,Aluminum,aluminum,0.28
ALI_H15_1min.txt,ALI,Aluminum,aluminum,0.00
ALI_H16_1min.txt,ALI,Aluminum,aluminum,0.00
ALI_H17_1min.txt,ALI,Aluminum,aluminum,0.01
ALI_H20_1min.txt,ALI,Aluminum,aluminum,0.01
ALI_H21_1min.txt,ALI,Aluminum,aluminum,0.01
ALI_H22_1min.txt,ALI,Aluminum,aluminum,0.02
ALI_H23_1min.txt,ALI,Aluminum,aluminum,0.08
ALI_H24_1min.txt,ALI,Aluminum,aluminum,0.34
ALI_J15_1min.txt,ALI,Aluminum,aluminum,0.00
ALI_J16_1min.txt,ALI,Aluminum,aluminum,0.00
ALI_J17_1min.txt,ALI,Aluminum,aluminum,0.01
ALI_J20_1min.txt,ALI,Aluminum,aluminum,0.02
ALI_J21_1min.txt,ALI,Aluminum,aluminum,0.01
ALI_J22_1min.txt,ALI,Aluminum,aluminum,0.03
ALI_J23_1min.txt,ALI,Aluminum,aluminum,0.10
ALI_J24_1min.txt,ALI,Aluminum,aluminum,0.30
ALI_K15_1min.txt,ALI,Aluminum,aluminum,0.00
ALI_K16_1min.txt,ALI,Aluminum,aluminum,0.01
ALI_K17_1min.txt,ALI,Aluminum,aluminum,0.00
ALI_K20_1min.txt,ALI,Aluminum,aluminum,0.02
ALI_K21_1min.txt,ALI,Aluminum,aluminum,0.02
ALI_K22_1min.txt,ALI,Aluminum,aluminum,0.03
ALI_K23_1min.txt,ALI,Aluminum,aluminum,0.10
ALI_K24_1min.txt,ALI,Aluminum,aluminum,0.31
ALI_M15_1min.txt,ALI,Aluminum,aluminum,0.00
ALI_M16_1min.txt,ALI,Aluminum,aluminum,0.01
ALI_M17_1min.txt,ALI,Aluminum,aluminum,0.00
ALI_M20_1min.txt,ALI,Aluminum,aluminum,0.01
ALI_M21_1min.txt,ALI,Aluminum,aluminum,0.02
