# CME Globex Holiday Schedule (2015-2025)
# Primary Source: CME Group Trading Hours (https://www.cmegroup.com/trading-hours.html)
# Secondary Source: CME Holiday Notices and SIFMA Recommendations
# Verification: Cross-referenced with US Federal Holiday Calendar
# Last Updated: 2024-12-17
#
# Column Definitions:
# - date: Trading date (YYYY-MM-DD)
# - holiday_name: Official holiday name
# - session_note: "Closed" = no trading, "Regular" = normal hours, "Early close" = partial day
# - partial_hours: Trading hours for early close days (CT timezone)
# - exchanges_affected: Comma-separated list of affected exchanges
date,holiday_name,session_note,partial_hours,exchanges_affected
2015-01-01,New Year's Day,Closed,,"CME,ICE,EUREX"
2015-01-19,Martin Luther King Jr Day,Regular,,CME
2015-02-16,Presidents Day,Regular,,CME
2015-04-03,Good Friday,Closed,,"CME,ICE,EUREX"
2015-05-25,Memorial Day,Closed,,"CME,ICE"
2015-07-03,Independence Day,Closed,,"CME,ICE"
2015-09-07,Labor Day,Closed,,"CME,ICE"
2015-11-26,Thanksgiving,Closed,,"CME,ICE"
2015-11-27,Day After Thanksgiving,Early close,09:00-13:00,"CME,ICE"
2015-12-24,Christmas Eve,Early close,09:00-13:00,"CME,ICE,EUREX"
2015-12-25,Christmas,Closed,,"CME,ICE,EUREX,LME"
2015-12-31,New Year's Eve,Early close,09:00-13:00,"CME,ICE"
2016-01-01,New Year's Day,Closed,,"CME,ICE,EUREX"
2016-01-18,Martin Luther King Jr Day,Regular,,CME
2016-02-15,Presidents Day,Regular,,CME
2016-03-25,Good Friday,Closed,,"CME,ICE,EUREX"
2016-05-30,Memorial Day,Closed,,"CME,ICE"
2016-07-04,Independence Day,Closed,,"CME,ICE"
2016-09-05,Labor Day,Closed,,"CME,ICE"
2016-11-24,Thanksgiving,Closed,,"CME,ICE"
2016-11-25,Day After Thanksgiving,Early close,09:00-13:00,"CME,ICE"
2016-12-23,Christmas Eve,Early close,09:00-13:00,"CME,ICE,EUREX"
2016-12-26,Christmas,Closed,,"CME,ICE,EUREX,LME"
2016-12-30,New Year's Eve,Early close,09:00-13:00,"CME,ICE"
2017-01-02,New Year's Day,Closed,,"CME,ICE,EUREX"
2017-01-16,Martin Luther King Jr Day,Regular,,CME
2017-02-20,Presidents Day,Regular,,CME
2017-04-14,Good Friday,Closed,,"CME,ICE,EUREX"
2017-05-29,Memorial Day,Closed,,"CME,ICE"
2017-07-04,Independence Day,Closed,,"CME,ICE"
2017-09-04,Labor Day,Closed,,"CME,ICE"
2017-11-23,Thanksgiving,Closed,,"CME,ICE"
2017-11-24,Day After Thanksgiving,Early close,09:00-13:00,"CME,ICE"
2017-12-22,Christmas Eve,Early close,09:00-13:00,"CME,ICE,EUREX"
2017-12-25,Christmas,Closed,,"CME,ICE,EUREX,LME"
2017-12-29,New Year's Eve,Early close,09:00-13:00,"CME,ICE"
2018-01-01,New Year's Day,Closed,,"CME,ICE,EUREX"
2018-01-15,Martin Luther King Jr Day,Regular,,CME
2018-02-19,Presidents Day,Regular,,CME
2018-03-30,Good Friday,Closed,,"CME,ICE,EUREX"
2018-05-28,Memorial Day,Closed,,"CME,ICE"
2018-07-04,Independence Day,Closed,,"CME,ICE"
2018-09-03,Labor Day,Closed,,"CME,ICE"
2018-11-22,Thanksgiving,Closed,,"CME,ICE"
2018-11-23,Day After Thanksgiving,Early close,09:00-13:00,"CME,ICE"
2018-12-24,Christmas Eve,Early close,09:00-13:00,"CME,ICE,EUREX"
2018-12-25,Christmas,Closed,,"CME,ICE,EUREX,LME"
2018-12-31,New Year's Eve,Early close,09:00-13:00,"CME,ICE"
2019-01-01,New Year's Day,Closed,,"CME,ICE,EUREX"
2019-01-21,Martin Luther King Jr Day,Regular,,CME
2019-02-18,Presidents Day,Regular,,CME
2019-04-19,Good Friday,Closed,,"CME,ICE,EUREX"
2019-05-27,Memorial Day,Closed,,"CME,ICE"
2019-07-04,Independence Day,Closed,,"CME,ICE"
2019-09-02,Labor Day,Closed,,"CME,ICE"
2019-11-28,Thanksgiving,Closed,,"CME,ICE"
2019-11-29,Day After Thanksgiving,Early close,09:00-13:00,"CME,ICE"
2019-12-24,Christmas Eve,Early close,09:00-13:00,"CME,ICE,EUREX"
2019-12-25,Christmas,Closed,,"CME,ICE,EUREX,LME"
2019-12-31,New Year's Eve,Early close,09:00-13:00,"CME,ICE"
2020-01-01,New Year's Day,Closed,,"CME,ICE,EUREX"
2020-01-20,Martin Luther King Jr Day,Regular,,CME
2020-02-17,Presidents Day,Regular,,CME
2020-04-10,Good Friday,Closed,,"CME,ICE,EUREX"
2020-05-25,Memorial Day,Closed,,"CME,ICE"
2020-07-03,Independence Day,Closed,,"CME,ICE"
