root,contract,expiry_date,source,source_url
HG,HGF2009,2009-01-28,CME Copper Calendar,https://www.cmegroup.com/markets/metals/base/copper.calendar.html
HG,HGF2010,2010-01-27,CME Copper Calendar,https://www.cmegroup.com/markets/metals/base/copper.calendar.html
HG,HGF2011,2011-01-27,CME Copper Calendar,https://www.cmegroup.com/markets/metals/base/copper.calendar.html
HG,HGF2012,2012-01-27,CME Copper Calendar,https://www.cmegroup.com/markets/metals/base/copper.calendar.html
HG,HGF2013,2013-01-29,CME Copper Calendar,https://www.cmegroup.com/markets/metals/base/copper.calendar.html
HG,HGF2014,2014-01-29,CME Copper Calendar,https://www.cmegroup.com/markets/metals/base/copper.calendar.html
HG,HGF2015,2015-01-28,CME Copper Calendar,https://www.cmegroup.com/markets/metals/base/copper.calendar.html
HG,HGF2016,2016-01-27,CME Copper Calendar,https://www.cmegroup.com/markets/metals/base/copper.calendar.html
HG,HGF2017,2017-01-27,CME Copper Calendar,https://www.cmegroup.com/markets/metals/base/copper.calendar.html
HG,HGF2018,2018-01-29,CME Copper Calendar,https://www.cmegroup.com/markets/metals/base/copper.calendar.html
HG,HGF2019,2019-01-29,CME Copper Calendar,https://www.cmegroup.com/markets/metals/base/copper.calendar.html
HG,HGF2020,2020-01-29,CME Copper Calendar,https://www.cmegroup.com/markets/metals/base/copper.calendar.html
HG,HGF2021,2021-01-27,CME Copper Calendar,https://www.cmegroup.com/markets/metals/base/copper.calendar.html
HG,HGF2022,2022-01-27,CME Copper Calendar,https://www.cmegroup.com/markets/metals/base/copper.calendar.html
HG,HGF2023,2023-01-27,CME Copper Calendar,https://www.cmegroup.com/markets/metals/base/copper.calendar.html
HG,HGF2024,2024-01-29,CME Copper Calendar,https://www.cmegroup.com/markets/metals/base/copper.calendar.html
HG,HGG2009,2009-02-25,CME Copper Calendar,https://www.cmegroup.com/markets/metals/base/copper.calendar.html
HG,HGG2010,2010-02-24,CME Copper Calendar,https://www.cmegroup.com/markets/metals/base/copper.calendar.html
HG,HGG2011,2011-02-24,CME Copper Calendar,https://www.cmegroup.com/markets/metals/base/copper.calendar.html
HG,HGG2012,2012-02-27,CME Copper Calendar,https://www.cmegroup.com/markets/metals/base/copper.calendar.html
HG,HGG2013,2013-02-26,CME Copper Calendar,https://www.cmegroup.com/markets/metals/base/copper.calendar.html
HG,HGG2014,2014-02-26,CME Copper Calendar,https://www.cmegroup.com/markets/metals/base/copper.calendar.html
HG,HGG2015,2015-02-25,CME Copper Calendar,https://www.cmegroup.com/markets/metals/base/copper.calendar.html
HG,HGG2016,2016-02-25,CME Copper Calendar,https://www.cmegroup.com/markets/metals/base/copper.calendar.html
HG,HGG2017,2017-02-24,CME Copper Calendar,https://www.cmegroup.com/markets/metals/base/copper.calendar.html
HG,HGG2018,2018-02-26,CME Copper Calendar,https://www.cmegroup.com/markets/metals/base/copper.calendar.html
HG,HGG2019,2019-02-26,CME Copper Calendar,https://www.cmegroup.com/markets/metals/base/copper.calendar.html
HG,HGG2020,2020-02-26,CME Copper Calendar,https://www.cmegroup.com/markets/metals/base/copper.calendar.html
HG,HGG2021,2021-02-24,CME Copper Calendar,https://www.cmegroup.com/markets/metals/base/copper.calendar.html
HG,HGG2022,2022-02-24,CME Copper Calendar,https://www.cmegroup.com/markets/metals/base/copper.calendar.html
HG,HGG2023,2023-02-24,CME Copper Calendar,https://www.cmegroup.com/markets/metals/base/copper.calendar.html
HG,HGG2024,2024-02-27,CME Copper Calendar,https://www.cmegroup.com/markets/metals/base/copper.calendar.html
HG,HGH2008,2008-03-27,CME Copper Calendar,https://www.cmegroup.com/markets/metals/base/copper.calendar.html
HG,HGH2009,2009-03-27,CME Copper Calendar,https://www.cmegroup.com/markets/metals/base/copper.calendar.html
HG,HGH2010,2010-03-29,CME Copper Calendar,https://www.cmegroup.com/markets/metals/base/copper.calendar.html
HG,HGH2011,2011-03-29,CME Copper Calendar,https://www.cmegroup.com/markets/metals/base/copper.calendar.html
HG,HGH2012,2012-03-28,CME Copper Calendar,https://www.cmegroup.com/markets/metals/base/copper.calendar.html
HG,HGH2013,2013-03-27,CME Copper Calendar,https://www.cmegroup.com/markets/metals/base/copper.calendar.html
HG,HGH2014,2014-03-27,CME Copper Calendar,https://www.cmegroup.com/markets/metals/base/copper.calendar.html
HG,HGH2015,2015-03-27,CME Copper Calendar,https://www.cmegroup.com/markets/metals/base/copper.calendar.html
HG,HGH2016,2016-03-29,CME Copper Calendar,https://www.cmegroup.com/markets/metals/base/copper.calendar.html
HG,HGH2017,2017-03-29,CME Copper Calendar,https://www.cmegroup.com/markets/metals/base/copper.calendar.html
HG,HGH2018,2018-03-28,CME Copper Calendar,https://www.cmegroup.com/markets/metals/base/copper.calendar.html
HG,HGH2019,2019-03-27,CME Copper Calendar,https://www.cmegroup.com/markets/metals/base/copper.calendar.html
HG,HGH2020,2020-03-27,CME Copper Calendar,https://www.cmegroup.com/markets/metals/base/copper.calendar.html
HG,HGH2021,2021-03-29,CME Copper Calendar,https://www.cmegroup.com/markets/metals/base/copper.calendar.html
